,summary,title,category
574,"Sales Associate, Sorting Clothing, Inventory; volunteers needed in all of their stores throughout Manhattan and in Brooklyn.",Have A Penchant For All Things Vintage? Volunteer with a Thriftshop --55+ Only,Strengthening Communities
575,"The representative will phone outside organizations to promote awareness of upcoming events and seek out participation from local businesses, community based organizations and individuals.",Event phone bank representative,Helping Neighbors in Need
576,Come Jingle With Us! Volunteer at the NYC 5k Jingle Bell Run/Walk on December 4th to help in the fight against arthritis.,NYC Jingle Bell Run/Walk for Arthritis ,
577,Has math always come easily to you?  Do you know what prepositions and adjectives are?  Are you an expert on ecosystems?  Well . . . have you ever considered sharing your knowledge by becoming a tutor for children in need?,Homework Helpers,Education
578,"(CNYCN) and its partners are now organizing 2011 Rise Up & Stay Put! Saturday, April 23 at York College in Queens, and a future date and location in Brooklyn this summer.",Rise Up Stay Put Home Rescue Fair!!,Helping Neighbors in Need
579,We are in need of volunteer exercise teachers to instruct our members at our H.E.S. and Mill Basin Senior Centers.,JASA Volunteer Exercise Teachers at H.E.S. and Mill Basin Senior Centers,Health
580,"City of New York Department of Parks & Recreation Annual Winter Festival featuring Cross Country Skiing, Snowboarding, and Snowshoeing!",Winter Jam 2011,Strengthening Communities
581,"The Trevor Lifeline, 866.4.U.TREVOR (866.488.7386), is the only nationwide, around-the-clock crisis and suicide prevention lifeline for lesbian, gay, bisexual, transgender and questioning (LGBTQ) youth.",Trevor Lifeline Counselors,Helping Neighbors in Need
582,Projects throughout the Park will include tree plantings and invasive plant removal.,Spring Volunteer Kickoff ,Strengthening Communities
583,"The Police Athletic League seeks volunteers to imput survey data on Wednesday, May 18 from 10:00 am to 12:00 pm in Manhattan!",Data Entry Assistance,Strengthening Communities
584,Early morning and overnight volunteers needed at a homeless shelter.,Giving At the Soup Kitchen Can be Fun - 55+ Only,Helping Neighbors in Need
585,"Climb to the Top is a unique stair climbing event hosted by the National MS Society, NYC-SNY Chapter that will take place n Sunday, February 27, 2011 as 1,000 participants will climb 66 flights of stairs to help create a world free of MS.",Be a Climb to the Top Volunteer!,Health
586,"Need two enthusiastic volunteers to assist with guest check-in at cocktail event on September 14, 2011.",Special Events Volunteer,
587,"World Cares Center is seeking up to 20 volunteers to participate in an emergency management drill on Wednesday, February 2, 2011.",Volunteers Needed for Volunteer Reception Center Drill,Emergency Preparedness
588,"Help Families and Individuals Get Back on Their Feet  The Advocacy, Counseling and Entitlement Services (ACES) Project of the Community Service Society is seeking individuals age 55+ to serve as volunteer public benefit counselors dedicated to helping financially disadvantaged people.",Volunteer as a Public Benefit Counselor (ACES) - 55+ Only,
589,The director of development will provide developmental guidance and support to the senior management team of the agency.,Director of Development,Strengthening Communities
590,Help with the implementation of JASA's Home Delivered Meals survey,JASA Home Delivered Meals survey volunteer,Helping Neighbors in Need
591,"Come ring in Spring with a trip to the Central Park Zoo with the kids of Harlem Dowling 125th! We will meet at the Center at 11:00 AM, for a quick lunch, before heading down to the zoo. We will return to the Center for drop-off at 3 PM. Hope you can join us! 11:00 AM",Central Park Zoo with Harlem Dowling 125th! ,Strengthening Communities
592,"We are looking for dedicated and enthusiastic volunteer mentors for adults with intellectual disabilities (such as autism, Down syndrome). Our programs and services are designed to nurture independence and confidence.",Mentor,Helping Neighbors in Need
593,ACTS Community Development is seeking volunteer/intern to research and write grants.,Grant Writer,Strengthening Communities
594,Gain experience you can't get anywhere else as you help people who are experiencing some form of personal crisis--from a bad day to a broken heart to a major loss or depressive illness.,Gain Valuable Counseling Experience--Volunteer on Samaritans 24-Hour Crisis Hotline,Helping Neighbors in Need
595,Volunteer needed to translate written materials from English into Chinese.,Chinese Translator,Helping Neighbors in Need
596,"Help out at this month's Clothing Donation Day. We will be meeting and greeting clothing donors, providing tax receipts, and sorting donations to select only the best for Dress for Success clients. These events fill up quickly, so register soon! 10:45 a.m. - 3:00 p.m.",Clothing Donation Day Volunteers Needed!,Helping Neighbors in Need
597,Due to popular demand the Friends are pleased to offer community members FREE trees to plant on private property.,Million Trees NYC Community Tree Giveaway,Strengthening Communities
598,"Volunteers are needed for Cool Culture's Catch the Cool family event on Saturday, June 19, 2011 that will take place at the Queens Museum of Art in Flushing Meadows Corona Park. The event will be an opportunity for Cool Culture families to take part in museum tours, storytelling and art making.",Volunteers Needed for Family Event,Strengthening Communities
599,"Please join the JCC staff, members, and neighbors on the tenth anniversary of the tragedies of September 11. Organized community service activities will take place in and outside of our building in remembrance of the events of 9/11. Choose your project on the morning of the event.",9/11 Day of Service at the JCC in Manhattan,Strengthening Communities
600,"We are New York City’s largest girls-only youth and leadership development program where girls learn to lead with courage, confidence and character to make their communities and the world  a better place.",Girl Scout Series - Bronx ,Strengthening Communities
601,Become at tutor with The Fresh Air Fund and change a child's life forever!,Tutor with The Fresh Air Fund,Education
602,Volunteers help our clients by reviewing and editing résumés/coverletters and giving interview tips to a woman in need. They also meet with clients to perform mock interviews and informational interviews in order to give them a chance to practice and improve their communication skills.,Career Counselor ,Helping Neighbors in Need
603,"A team of mature adults staff our desk in front of the surgical suites.  Providing information, connecting families and physicians post surgically and guiding families to the resources they need is the focus of this volunteer experience.",Family Liason Program at New York Methodist Hospital,Health
604,"In 2010, POTS’ Case Managers helped close to 1,100 people including 315 families with 300+ children identify barriers to stability and take steps to address them.  369 individuals were provided information and referrals to link with detox, educational and employment programs, shelter.",Case Management Intern,Helping Neighbors in Need
605,Join our membership campaign to become the largest timebank in the United States!,TimeBanksNYC's 2011 in 2011 Membership Drive,Helping Neighbors in Need
606,Help immigrants and new Americans practice their English through some Coffee & Conversation!,Coffee & Conversation: English Practice for English Learners,Helping Neighbors in Need
607,"Fall internships run from September-December and require 12-16 in-office hours per week with occasional Saturday events. Interns report directly to development staff, assisting with key aspects of funder research, proposal drafting and packaging, outreach, and communications.",School Year Internship: Fall 2011 Development Intern,Education
608,"The New York Legal Assistance (NYLAG), a non-profit law firm based in New York City, is recruiting volunteers for its Public Benefits project.",Public Benefits Outreach Opportunity,
609,"Far Rockaway Beach, Queens.  Volunteers needed for crafts, games and face painting.  The event takes place on April 30th.",Earth Day Volunteers needed-Queens,Strengthening Communities
610,"Recruit, supervise, and communicate with volunteers and interns in our office and all over the world.",Volunteer Recruitment ,Strengthening Communities
611,"The World Science Festival, returning to New York City June 1-5, 2011 with a sweeping array of cutting-edge science programs designed to make the esoteric understandable and the familiar fascinating, is once again looking to assemble the best volunteer team in the business!",2011 World Science Festival Volunteers Needed! ,Strengthening Communities
612,"Stop 'N' Swap reduces NYC's waste by finding new homes for unwanted, but usable items.  Help sort, fold and display items to make this a fun free reuse experience for all.",Stop 'N' Swap,Environment
613,Volunteers help with organizing pantry and pre-packing grocery bags and produce orders.,Pantry Packing Tuesday,Helping Neighbors in Need
614,Volunteers needed to teach seniors basic computer skills.,Computer Training,Strengthening Communities
615,NYAWC is seeking a volunteer to help research grant opportunities. Our programs and services for abused women and their children are funded by a combination of public and private sources.,Grant Research (Fundraising and Developement ),Helping Neighbors in Need
616,Learning Leaders currently seeks tutors to help in all subject areas at High School of Art and Design.  The High School of Art and Design is the only high school for the development of artists interested in the commercial arts. Studio classes are conducted as in a professional agency.,Tutors Needed: High School of Art and Design,Education
617,Volunteers are needed to help developmentally disabled adults at a bowling tournament.  No bowling skills are required.,Brooklyn Special Olympics Bowling Tournament,Helping Neighbors in Need
618,Volunteers will be responsible for helping the student-athletes complete their homework assignments and study for upcoming exams.,Tutor Students with FC Harlem,Education
619,"ATTENTION PROFESSIONAL WOMEN WRITERS: SHARE YOUR CRAFT AND WORK ONE-TO-ONE  WITH AN ASPIRING TEEN WRITER!  EXTENDED DEADLINE - JULY 11, 2011  APPLY NOW TO BE A VOLUNTEER WRITING MENTOR FOR A HIGH SCHOOL GIRL.",Volunteer Writing Mentor,Education
620,A program for seniors to encourage fitness.,Fitness Instructor for Seniors,Health
621,Help clean up tree limbs and debris that came down during Hurricane Irene.,Help Clean Up after Hurricane Irene in Manhattan,Emergency Preparedness
622,Did you know that 1 in 10 people in the United States face a future with liver disease?The American Liver Foundation is working toward a world free of liver disease and we need your help!Together we will make a difference.Join the American Liver Foundation as a Liver Life Walk Volunteer Crew Member!,Liver Life Walk 2011,Strengthening Communities
623,Volunteers needed for an outreach campaign marketing Food Access and Medicaid within the 5 boroughs of NYC.,Volunteer for an Outreach Campaign on Public Benefits,Helping Neighbors in Need
624,"A free family friendly event, featuring local art, live entertainment and free art classes for the entire family.",CDSC's 3rd Annual Starving Artist Art Show ,Strengthening Communities
625,"Seeking a highly motivated and energetic Public Relations Intern, who will be responsible for executing our public relations goals. The Public Relations Intern will write and edit press releases, arrange media interviews and maintain an on-going relationship with media professionals and the public.",Public Relations Intern ,Strengthening Communities
626,"Girls Inc. of NYC seeks Summer Workshop Volunteers to support the Girls Inc. program facilitators.  Volunteers will support individual girls and small groups, while the girls explore various topics including Art, Theatre, Economic Literacy and Career Skill Building.",Summer Workshop Volunteer,Education
627,"We are in need of a volunteer to teach an ESL class at our H.E.S. Senior Center, located in Canarsie.",JASA Volunteer ESL Teacher at H.E.S. Senior Center,Helping Neighbors in Need
628,UJA is currently looking for volunteer managers for its Care to Share Project.,Volunteer Manager for Care to Share Project,Education
629,"Hundreds of New Yorkers spent Saturday night in a City shelter as a result of Hurricane Irene.  Help volunteers as they wake up, spend the morning in the shelter, and transition home.",Volunteer at a Hurricane Irene Evacuation Center - Queens,Emergency Preparedness
630,"Successful grant proposal preparation not only requires a deep understanding of the organization that one is preparing the grant for, but also an understanding of the grantmakers’ expectations. To prepare the most effective grant proposal, an organization should have a plan of attack",Grant Proposal Preparation for Professionals,Strengthening Communities
631,"Volunteer with Share Our Strength, the Coalition Against Hunger, CIty Harvest, The Food Bank for NYC and the Citizens Committee for Children on  July 16th from 10 to 3 to support summer meals.",NYC Summer Meals Outreach Day,Helping Neighbors in Need
632,"Position entails completing mental health claim forms monthly, tracking payments and interfacing with insurance companies regarding payments, etc.",Health Insurance Claims Manager,Strengthening Communities
633,"Thousands of New Yorkers aren’t able to dig out the snow; many need help shoveling snow, bringing groceries into their home, or traveling to mass transit hubs.  If you’re an able-bodied New Yorker with a few minutes to spare, please find an opportunity in your neighborhood below.",Help New Yorkers Affected by the Storm in the Bronx ,Helping Neighbors in Need
634,"Photography is a powerful way for an organization to showcase its work, the communities and constituents it serves, and create a visual and emotional appeal to its supporters.",Photo Essay for Professionals,Strengthening Communities
635,"We need a volunteer to help us hand sew our costumes .  Volunteer should be able to teach childen  to sew by hand - September 17, 24, Oct. 1 and 8",costume making,Strengthening Communities
636,PAL Brownsville Beacon Center (BBC) seeks dedicated volunteer dance instructor to train 20 middle school and teen participants with or without formal dance experience.,Volunteer Dance Instructor,Health
637,"The marketing and communications intern will assist with social media efforts, research, development of marketing materials and fundraising.",Marketing and Communications Intern,Strengthening Communities
638,Help preserve the history of one of the oldest and largest police establishments in the world. Become a docent and share the wonderful stories of the New York City Police Department.,Volunteer at the Police Museum--55+ Only,Strengthening Communities
639,"If you love the museum enviorment and are availible on Wednesday or Friday afternoons ,Thursday or Friday mornings? Consider helping a  local museum staff its shop.",Help Run A Museum Store,Strengthening Communities
640,"The Iridescent NYC Science Studio (www.iridescentlearning.org) aims to evolve the press-and-watch science center model into a hub of design, creativity, and learning by doing. We are looking for volunteers to operate cool exhibits at our first open house!",Science Center Open House Volunteers!,Education
641,Volunteer needed with knowledge of exercising to assist with the development of an exercise program for hospital staff during the work week/work day.,Exercise Coach/Instructor,Health
642,"Nothing says summer like outdoor concerts, bicycles, free dinner and loads of Transportation Alternatives (T.A.) volunteering. We've got the full package with T.A. Bike Valet and we're in need of volunteer help at our Celebrate Brooklyn and Brooklyn Bridge Park Movies with a View valet stations.",Transportation Alternatives Bike Valet,Environment
643,"Mainchance drop-in center for homeless and hungry adults seeks a volunteer to help our clients construct effective and professional resumes and, in turn, help them obtain employment.",Volunteer to Assist Homeless Adults with Resume Building,Helping Neighbors in Need
644,Free Arts NYC  is recruiting volunteers to join Team Free Arts and raise funds for our unique art and mentoring programs.,Join the ING NYC Marathon and Run for Art Programs: Team Free Arts! ,Strengthening Communities
645,"Help squash barriers to success this summer at StreetSquash's Summer Discovery Program! Turn summer learning into fun by volunteering with 11 to 14 year olds on the squash courts, in academic enrichment sessions, and in a variety of other activities.",Volunteer at StreetSquash Summer Discovery 2011!,Education
646,"We are looking for chefs, culinary students, dietitians, and home cooks to teach formerly homeless individuals how to prepare healthy and affordable meals in Brooklyn.","Chefs, Nutritionists and Foodies Wanted!",Health
647,"Help the fight against breast cancer by volunteering with Komen Greater NYC-- advertise September's Race for the Cure at an outdoor farmer's market, help out one of our other summer initiatives, or volunteer on Race for the Cure Weekend 2011!",Susan G. Komen for the Cure's Greater NYC Affiliate Needs Volunteers,Health
648,Surveys and focus groups needed to evaluate and improve our organization's effectiveness.,Marketing Research ,
649,The individual in this role will work closely with the Director of Communications and Community Outreach to bring information about NIP's psychotherapy services to the New York community.,Outreach and Marketing Assistant,Strengthening Communities
650,"Help out with arts and crafts, face painting, games and a strawberry eating contest at Highland Park, Queens.",Volunteer at Highland Park Strawberry Festival,Strengthening Communities
651,World Cares Center will be providing 15 training sessions to a group of Brooklyn youth ages 13-18 on preventing and responding to emergencies.  We are looking for individuals who can co-facilitate the delivery of these sessions which will take place for 1 hour a week from March-June 2011.,Emergency Preparedness Organization Seeks Community Trainers,Emergency Preparedness
652,Help teach basic computer skills to seniors,JASA Throgs Neck Computer Volunteer,Helping Neighbors in Need
653,Help prepare and serve food to children in our Early Head Start Program.,Kitchen Assistant,
654,We are looking to attain a highly skilled sports marketing specialist who can assist securing sponsorship opportunities for our non-profit program and events.,Sports Marketing Specialist,Strengthening Communities
655,Volunteer needed to translate written materials from English to French.,French Translator,Helping Neighbors in Need
656,HAI is looking for two interns to work with the Director of Communications.,Communications Intern,Strengthening Communities
657,NYC Parks and Recreation seeks your participation to enrich our recreation facilities! Shape Up New York is a free fitness program for all ages and is looking for additional instructors at Faber Park in Staten Island.,Staten Island: Zumba Instructor for Shape Up New York!,Health
658,Blogs enable organizations to easily publish a stream of new content. WordPress is a free open-source and SEO-friendly blogging software that organizations can use to build blogs and provide regularly updated content to their audiences,WordPress Blog for Professionals,Strengthening Communities
659,Volunteer needed to teach individuals to knit and crochet.  The items are for the children and seniors who are patients at the hospital.  The volunteer would be needed for three to four hours per week.,Knitter/crochet,Strengthening Communities
660,"Lifeguard facilitators travel the greater NYC area, conducting workshops for youth and adults alike in schools and other youth-oriented venues.",Lifeguard Workshop Facilitators ,Strengthening Communities
661,This NYC cultural institution is looking for art enthusiasts who are social and would love greeting and meeting others. Being bilingual in Spanish and English is a plus.,This Unique Museum Will Be A Big Adventure! --55+ Only ,Strengthening Communities
662,"Keep the NYC Century Bike Tour rolling by being part of our esteemed volunteer crew! There are many opportunities for you to choose from. Whether you want to ride, set up, help out at a local park or guide cyclists through dangerous intersections, T.A. staff (and all the riders) can use your help!",Transportation Alternatives NYC Century Bike Tour!,Health
663,"The Archivist will be responsible for organizing Lighthouse archives so it is easily accessible and develop a plan for cataloging, housing, and displaying current archival items, and handling incoming items going forward.  This is a flexible with a requirement of 6-10 hours per week.",Volunteer Archivist Needed,Strengthening Communities
664,"Websites give an organization an Internet presence - providing information about the organization, as well as showcasing the achievements of the organization. A website is also useful channel of communication between the organization and its donors and beneficiaries.",Website Design for Professionals,Strengthening Communities
665,"Planning for a better future starts by believing that one is possible. On New York Cares' Adult Education projects, volunteers help capable but struggling New Yorkers, many of whom are transitioning out of homelessness, build a brighter future for themselves and their families.",Adult Education and Job Readiness Projects with New York Cares,
666,"Arts and Crafts volunteers are needed to assist participants in our Arts and Crafts Program. The youngsters with disabilities enjoy doing art projects which include painting, beading, murals, and various craft projects. Volunteers assist the children and invent the projects.",Arts and Crafts Volunteers,Communities and Neighbors
667,"Assist Executive Director in managing after-school programs, activities and outside of school time for children in Pre-K -5th grade.",After-School Program Coordinator,Education
668,"New York Cares offers many programs serving adults and children with special needs. Our volunteers provide a little extra care and attention to the physically disabled, who often face limited recreational activities and educational opportunities. These projects provide important social interactio...",Adults and Children with Special Needs Projects with New York Cares,
669,"Socialize with rescued animals and help them get adopted just by providing human contact, love, and attention.  On New York Cares' Animal Care projects, volunteers walk dogs, play with cats, help stock and keep shelters clean, and more at shelters throughout the five boroughs.",Animal Care Projects with New York Cares,
670,"Tutor adults in reading, writing and learning how to speak English. Some of our students have become GED graduates and are in college.  We get many calls each week from adults who want to improve their lives by taking the first step in learning how to read or obtaining their GED.  We need tutors ...",Adult Literacy and ESL Tutors,
671,Volunteers are needed to assist people with disabilities in our basketball program. Some volunteers play along with the participants and some supervise or give instruction.  Some Project HAPPY participants play wheelchair basketball.,Basketball Assistants,Health and Well-Being
672,"Make a friendship for a lifetime!
Visit a senior once a week or once a month.
Manhattan and Westchester locations only.",Become a Friendly Visitor and make a friend for a lifetime!,
673,Soccer volunteers are needed to assist in soccer drills and games for children with autism and children with mobility impairments.,Soccer Volunteers,
674,"Do you work for a company that wants to assist underprivileged children in New York City during the 2018 Holiday Season? 

We are always in need of supporters to help us give gifts to the most vulnerable children/families in East Harlem.",Corporate Sponsorship Needed for our Holiday Program for East Harlem Children,
675,"DOROT’s greeting card project helps bring joy and celebration to some of our frailest and most isolated seniors. Each month, DOROT mails over 250 birthday cards to seniors.",Create Birthday Cards for the Elderly,
676,"Help give kids a strong foundation for academic achievement. New York Cares' Children's Education projects help New York City's underserved children develop their academic skills at an early age, improving their chances of getting into college and preparing them for future success.",Children's Education Project with New York Cares,
677,"Counselors are needed to work with children and teens who have disabilities. In that capacity the counselors will assist the participants through their day of sports, games, and arts and crafts.",Group Counselors,
678,We are looking for philanthropic-minded corporate partners to volunteer to make costumes for OMB kids to wear at the shows.  Our children get involved in theatrical performances by wearing costumes (hats / necklaces) that volunteers decorate at in-office events.,COSTUME COLLECTIVE: Decorate Costumes for Sick & Disabled Children!,
679,Dance and aerobics volunteers are needed to assist in our dance program. Volunteers who have creative dance skills and would like to create dances with our participants are especially welcome.,Dance and Aerobics Volunteers,
680,New York Cares volunteers work year round to keep our city's public spaces well maintained for all New Yorkers to enjoy and make sure that donated clothes and materials are redistributed to those in need.,Environment and Revitalization Projects with New York Cares,
681,"DOROT's Homelessness Prevention Program is a transitional residence in Manhattan that offers seniors safe, temporary housing; meals; counseling, and assistance in finding a permanent home. Volunteers contribute to the social atmosphere by serving meals and interacting with the residents.",Host and Serve Dinner at DOROT's Homelessness Prevention Program,
682,"On New York Cares' Health and Wellness projects, volunteers bring much-needed companionship to long-term hospital residents and individuals living with devastating illnesses, such as HIV/AIDS.",Health and Wellness Projects with New York Cares,
683,"Volunteers on New York Cares' Hunger projects do more than just serve a meal -- they provide a warm smile, friendly conversation, and the reassurance that someone cares. These projects serve hundreds of men, women, and children at homeless shelters, churches, and senior centers each day.",Hunger Projects with New York Cares,Communities and Neighbors
684,A physical therapist is needed to assist in our weight training gym.,Physical Therapist Volunteers,
685,Search and develop proposals for grants that are a match for the organization. Prepare a database of available grant opportunities and deadlines.,P/T Grant Writer,
686,Internships NYC!   Non-Profit Management Internship/Leadership Training Program for theater/community center in NYC!   This is an intensive Leadership Training Program in non-profit business management. Interns receive hands-on training in an award-winning theater conservatory and community servi...,Internship Non-Profit Theater & Community Center!,
687,Immediate opportunities are now available for volunteers to learn all aspects of preserving and restoring our 1885 fully-rigged ship WAVERTREE!,"Tall ship ""WAVERTREE"" restoration opportunities",
688,Volunteers are needed in the heated swimming pool to assist children with disabilities. It is not necessary for volunteers to excel at swimming but rather to be comfortable in the water in order to provide one on one assistance.  Our lead instructor guides the volunteers through each swim period.,Swim Volunteers,Health and Well-Being
689,"Seniors in nursing facilities tend to have few visitors, but with a few hours of your time, you can provide the social interaction that is important to keeping their spirits soaring. On New York Cares' Seniors projects, volunteers connect and engage with elderly adults through reading and discuss...",Seniors Projects with New York Cares,
690,"Public School Teachers needed to help tutor students. Volunteers must be professional, flexible and results-oriented. 
Tutors are needed at-least 3 days per week for our after-school enrichment program. Primary subject areas are: Math, ELA, Reading, Science and Writing.",Tutors with Teaching Experience Needed!,
691,"Participants will work as tutors and classroom aides for students by providing homework help, academic coaching in reading, writing and math, coordinate organized enrichment activities, escort students from designated meeting area to assigned classrooms.",Tutors for After-school Enrichment Program,Education
692,"Teach an ESOL class (English to Speakers of Other Languages) this Summer with Community Impact. Volunteers teach at least one 2-hour class per week. Volunteers can select their preference of the morning, afternoon or evening (Mon-Thur) and class level from beginners to low advanced.",SUMMER 2019 Volunteer ESOL Instructor at Columbia University,
693,"We are seeking experienced individuals to join our rental team. The individual must be familiar with managing a rental space. They will be responsible for marketing, regulating rental tasks, and contributing to running a rental business that provides financial assistance to the organization.",Rentals Team Volunteers,
694,"Centro NYC  está convocando a tres instructores de español que quieran colaborar voluntariamente en la temporada de otono 2019 (septiembre-diciembre), una noche a la semana. Quienes desean participar en esta actividad pueden enviar su CV.",Volunteer Spanish Teacher,
695,"We need volunteers to assist in our agency's thrift store, The Sharing Place. This store helps to support all the programs at LSA.

Volunteers assist by sorting, tagging and organizing stock; assisting customers on the selling floor, other store tasks.","Volunteer in our Non-Profit Thrift Store, The Sharing Place",
696,GallopNYC is a non-proﬁt organization based in New York City that oﬀers therapeutic horsemanship programs to children and adults with disabilities.,Volunteer with horses to help people with Disabilities in New York City with GALLOP NYC,
697,"Weight Training volunteers are needed to assist in our weight training program. Volunteers who have experience with weight training equipment are especially welcome. The Project HAPPY participants enjoy working out in our ""gym.""",Weight Training Volunteers,Health and Well-Being
698,Yoga volunteers are needed to assist in our Yoga program. Volunteers with yoga experience are especially welcome. Our participants enjoy relaxing and working out to soothing music and basic yoga postures.,Yoga Volunteers,
699,"We're looking for compassionate, patient, and committed individuals to help seniors grocery shop . Volunteers may help make grocery lists, shop at the supermarket and deliver groceries to seniors who are home bound and living in the Upper East Side and East Harlem neighborhoods.",Grocery Shopping Assistance,
700,Lead a technology class for older adults!,Computer Coach - JASA Sue Ginsburg Senior Center,
701,Lead seniors in monthly arts and crafts evening.,Evening Art Instructor - JASA Co-op City,Communities and Neighbors
702,"Friendly Visiting is widely regarded as an effective and meaningful way to reach isolated seniors and to increase their engagement in the community. Volunteers gain valuable interpersonal skills, explore new interests, and foster a sense of purpose as they enrich the lives of older adults.",JASA Friendly Visitors,
703,Help serve lunch to older adults,Lunch Service Volunteer - JASA Manhattan Beach Senior Center,Communities and Neighbors
704,It's always fun to learn a new language!,Russian Language Instructor - JASA Co-op City NORC,Communities and Neighbors
705,Lead a weekly exercise for seniors.,Tai Chi Instructor - JASA Manhattan Beach Senior Center,
706,"Expert Placement    Personal Service

Volunteer Referral Center is a matchmaker for volunteers and nonprofit agencies that depend on volunteer support. We will match your interests, skills, and availability with nonprofits that need your help.",Interested in Volunteering? Call us today!,
707,"The 9/11 Memorial &amp; Museum honors and remembers the nearly 3,000 people killed in the attacks of September 11, 2001 and February 26, 1993. Visitor Services volunteers are an essential part of our team as we welcome millions of visitors each year from around the world.",9/11 Memorial & Museum: Visitor Services Volunteers,Communities and Neighbors
708,"Thank you for contacting New York Cares about our Children’s Recreation projects. Sports and fitness projects keep children healthy and active, arts and culture projects help them discover their creativity, and recreational outings expose them to the unique activities and culture of New York City.",Children's Recreation Projects with New York Cares,
709,"Help 5th, 6th, 7th, and 8th graders conquer their fear of basic math with individualized tutoring. Prior experience is not necessary.  TH encourages individuals who are compassionate, engaging, and patient to apply.",Volunteer MATH tutors needed on the Upper West Side!,
710,"Please apply online at the following link: https://www.volgistics.com/ex/portal.dll/ap?ap=1114206372 

Please mention NYC Service in your application

If you have any questions - Please contact Jessica at JSinovoi@jewishhome.org",Weekend Volunteer,
711,"The New Jewish Home, Manhattan Division seeking volunteers to assist with recreation avtivities

Please apply online at the following link: https://www.volgistics.com/ex/portal.dll/ap?ap=1114206372

Please mention NYC Service &amp; recreation assistant in your application",Make a Difference! Assist seniors with Recreation Programs.,
712,"Pharmacy Assistant wanted to help in our in-house pharmacy department.

Please note: This opportunity is only available M-F between 9-5

Please apply online at the following link: https://www.volgistics.com/ex/portal.dll/ap?AP=1114206372",Pharmacy Volunteer at The New Jewish Home,
713,Applying for grants suitable for our type of program.,Grant Writer,
714,"The Actors Theatre Workshop (ATW) is currently seeking IT Volunteers who can provide direct technical support for our IT infrastructure, website and computer labs.",IT Volunteers for Non-Profit Theatre and Community Center!,Communities and Neighbors
715,"Want to help immigrants become U.S. citizens? Interested in further understanding the naturalization process? If so, this volunteer opportunity is for you!",Citizenship Tutor,
716,"Work Study Program (Karmis)

Hosh welcomes all to come and practice. If you have more time rather than financial resources, we are offering the opportunity to be part of the Hosh community and contribute. Below are some of the ways you can volunteer.
Must visit:
www.hoshkids.org",Hosh Kids/Yoga Studio Front Desk Volunteers,
717,You'll make a significant impact on Samaritans 24-hour emotional support hotline.  Volunteers love the personal satisfaction that comes with helping individuals that truly need and appreciate your compassion and support.,Mental Health Peer Counselors Needed for NYC Crisis Hotline,Health and Well-Being
718,"Need someone good with a camera and experienced with digital video media and editing to film our adoptable animals and non-profit events.  

Canditates will also help execute a short but compelling newsletter every two or three months.

Flexible hours",Photographer/Videographer/Writer for Animal charity Newsletter,Environment
719,"We need occassional help w/ transportation to the vet, adoption events,  foster homes &amp; quick trips 2 the airport .   We have a real need for this help. :-)  
 
PLEASE HAVE:

*Access to a vehicle

We need: 

*People who are dependable, flexible, easy-going &amp; calm under stress.",Transport volunteers,
720,"Looking for individuals or groups who can volunteer time to help us with any or all of the following: 

*Brand development

*Publicity
 
*Social media &amp; special events

*Fundraising

*Grant writing (Skilled in this area is a must)

Text William Cassius at 646.450.8311",Project Managers (2 to 6 people) for Creative initiatives,
721,"We can  always cat or dog-friendly Guardians to foster cats or dogs   for short term (a few weeks or longer term (1 to 3 months on average) 

This help is vital &amp; has a great impact on the fur babes in need of temp refuge to grow, heal, be cared for &amp;loved while  awaitpermanent homes a pro-active",Fostering/Fosters for cats or dogs on short term or extended terms/2 weeks to 4 months on average,
722,"Imani House Adult Literacy Program needs Math Tutors. Do you  enjoy math &amp; sharing it with others? Experience is desirable, but not required. Most of our students  are GED level, some at lower levels. If you have 2 hours once a week, we'd love to have you join our corps of dedicated volunteers!",Do you love math?  Become a MATH TUTOR,Education
723,"Tutor adults in reading, writing and learning to speak English. 
We need patient, personable tutors who are excited about helping adult learners reach their goals in literacy.  No experience necessary.",TEACH AN ADULT TO READ!,
724,"The Pet Therapy Handler will share their dog with patients on a unit/ bedside visits when appropriate.

This program uses  trained dogs to help promote the healing process for patients, families and caregivers.
The dogs must be trained by an accredited Assisted Animal Therapy institution.",Animal - Assisted Therapy Volunteer/Handler ( Dogs),Health and Well-Being
725,"The Navigator role is a highly specialized, trained, customer -service volunteer who greets  patients and families. Assists patients,family members , navigating through the hospital.",Navigator,Health and Well-Being
726,"Learn about our innovative volunteer program and our award-winning after-school Theatre and Education Program for Homeless Children, The Builders of the New World!",Volunteer! Theater program for Homeless Children,
727,Assist at a senior center with weekday lunch service.,Lunch Service Volunteer - JASA Brookdale Village Senior Center,
728,"The VNSNY Hospice Care volunteer’s role is to be a supportive, caring person to the terminally ill patient, caregiver and family.  Our goal is to provide comfort, care and choice to our patients and their families during this difficult time in their lives.",Hospice Care Volunteers - Visiting Nurse Service of New York,
729,"Varied volunteer opportunities for service that include: Friendly Visitors,  Clerical,Information Desk , Literacy, Storytelling for children. Assist patients with registration, make follow-up visit telephone calls.",- NYU Langone Hospital - Brooklyn and Family Health Center Volunteers,Health and Well-Being
730,"Sound healing classes
Wellness murals",Volunteer for Sound Healing & Wellness Art in North Brooklyn,
731,"South Bronx United is looking for caring, energetic, and committed volunteers to coach in its Youth Soccer Recreational League",Recreational Youth Soccer Coach,Health and Well-Being
